00:1f:45:81:5f:5a,a0:cf:5b:3f:a6:91,a0:cf:5b:3f:a6:92,a0:cf:5b:3f:a6:94,86:ba:c7:cd:ee:1e,a0:cf:5b:3d:e3:ad,a0:cf:5b:3d:e3:ae,00:1f:45:96:93:db,a0:cf:5b:3d:e3:ab,64:70:02:3e:ab:2f,a0:cf:5b:3f:87:4b,a0:cf:5b:3f:87:4d,a0:cf:5b:3f:87:4e,6c:62:6d:16:1a:51,40:61:86:a7:92:e6,a0:cf:5b:0e:37:62,a0:cf:5b:0e:37:61,a0:cf:5b:0e:37:64,00:1f:45:81:5f:58,00:1f:45:81:5f:59,a0:cf:5b:3f:91:7e,00:0b:6b:84:b4:91,00:26:99:8b:86:c4,00:26:99:8b:86:c5,00:26:99:8b:86:c0,00:26:99:8b:86:c1,a0:cf:5b:0e:37:6e,00:26:99:8b:86:c3,64:ae:0c:bf:c6:64,64:ae:0c:bf:c6:61,00:0b:6b:db:08:fc,64:ae:0c:bf:c6:62,a0:cf:5b:0e:37:6b,00:0b:6b:84:b5:e3,84:c9:b2:aa:16:8c,a0:cf:5b:3d:a0:94,02:6f:81:fc:85:98,a0:cf:5b:3d:a0:91,a0:cf:5b:3d:a0:92,a0:cf:5b:0e:d9:9b,00:1f:45:81:6d:ca,a0:cf:5b:0e:37:6d,a0:cf:5b:0e:d9:9e,a0:cf:5b:0e:d9:9d,64:70:02:3e:aa:11,a0:cf:5b:3e:e0:91,a0:cf:5b:3e:e0:92,a0:cf:5b:3e:e0:94,00:0b:6b:db:08:e2,64:70:02:3e:ab:30,02:6f:81:fc:8a:58,a0:cf:5b:00:75:9e,a0:cf:5b:00:75:9d,00:1f:45:81:6d:c9,00:1f:45:81:6d:c8,a0:cf:5b:00:75:9b,8a:41:af:71:d8:37,64:70:02:3e:aa:d9,a0:cf:5b:3d:7d:a1,a0:cf:5b:3e:e0:9d,a0:cf:5b:3e:e0:9e,a2:05:43:d6:39:7a,00:0b:6b:db:08:ec,00:11:09:0c:52:8d,64:70:02:3e:aa:ef,02:2d:cd:07:25:07,a2:05:43:d0:23:80,a0:cf:5b:3d:e0:8b,02:9c:1c:e2:ce:24,a0:cf:5b:3d:e0:8d,a0:cf:5b:3d:e0:8e,00:0b:6b:84:b5:bc,00:0b:6b:db:08:c8,00:1f:45:81:49:59,64:70:02:3e:9f:63,a0:cf:5b:3d:7d:a2,02:6f:81:fb:ee:f0,a0:cf:5b:3e:e0:9b,a0:cf:5b:00:1d:8e,a0:cf:5b:00:1d:8d,a0:cf:5b:00:1d:8b,00:23:12:fc:66:8f,00:0b:6b:db:08:f9,00:12:bf:b3:78:f4,a0:cf:5b:3d:7d:a4,00:0b:6b:db:08:cb,a0:cf:5b:3f:bd:fb,00:1f:45:81:49:58,a0:cf:5b:3f:bd:fe,a0:cf:5b:9f:68:6b,a0:cf:5b:3d:9d:34,a0:cf:5b:3d:9d:32,a0:cf:5b:3d:9d:31,ba:eb:90:ee:1b:d2,a0:cf:5b:3f:91:7d,a0:cf:5b:9f:68:64,a0:cf:5b:3f:91:7b,a0:cf:5b:9f:68:62,a0:cf:5b:9f:68:61,00:1f:45:81:49:5a,a0:cf:5b:fa:41:dd,a0:cf:5b:fa:41:de,a0:cf:5b:fa:41:db,00:0b:6b:84:b2:96,00:17:9a:f9:b8:7b,a0:cf:5b:9f:68:6e,a0:cf:5b:9f:68:6d,10:9a:dd:8e:0e:77,a0:cf:5b:3f:bd:fd,00:0b:6b:db:09:02,a0:cf:5b:3f:bf:cd,a0:cf:5b:3f:bf:ce,a0:cf:5b:3f:bf:cb,a0:cf:5b:00:ee:eb,a0:cf:5b:00:ee:ee,a0:cf:5b:00:ee:ed,xcoordinate,ycoordinate,class
-100,-100,-100,-100,-100,-77,-77,-100,-77,-35,-81,-82,-82,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-82,-100,-100,-89,-88,-100,-88,-88,-100,-100,-100,-100,-100,-56,-100,-100,-100,-87,-41,-88,-79,-79,-100,-100,-77,-100,-52,-100,-100,-100,-100,-89,-86,-70,-88,-100,-100,-89,-100,-100,-83,-100,-100,-69,-100,-100,-100,-79,-77,-77,-100,-84,-89,-100,-100,-81,-100,-80,-100,-100,-100,-100,-100,-100,-84,-100,-85,-83,-100,-35,-36,-36,-89,-100,-100,-100,-100,-81,-100,-70,-70,-74,-81,-82,-82,14.1,5.06,0
-100,-100,-100,-100,-100,-77,-77,-100,-73,-36,-81,-82,-82,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-82,-100,-100,-89,-89,-100,-88,-88,-100,-100,-100,-100,-100,-55,-100,-100,-100,-89,-40,-88,-81,-80,-100,-100,-79,-100,-51,-100,-100,-100,-100,-89,-86,-67,-88,-100,-100,-89,-100,-100,-81,-100,-100,-69,-100,-100,-100,-78,-77,-79,-100,-84,-89,-100,-100,-80,-100,-80,-100,-100,-100,-100,-100,-100,-83,-100,-85,-83,-100,-36,-36,-36,-89,-100,-100,-100,-100,-79,-100,-70,-70,-69,-82,-82,-82,14.1,5.06,0
-100,-100,-100,-100,-100,-78,-77,-100,-74,-36,-82,-81,-81,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-83,-100,-81,-100,-100,-89,-88,-100,-88,-88,-100,-100,-100,-100,-100,-56,-100,-100,-100,-87,-41,-88,-77,-81,-100,-100,-80,-100,-53,-100,-100,-100,-100,-89,-86,-71,-88,-100,-100,-89,-100,-100,-80,-100,-100,-68,-100,-100,-100,-77,-78,-77,-100,-83,-89,-100,-100,-81,-100,-79,-100,-100,-100,-100,-100,-100,-83,-100,-83,-83,-100,-37,-35,-35,-89,-100,-100,-100,-100,-80,-100,-74,-73,-74,-82,-83,-81,14.1,5.06,0
-100,-100,-100,-100,-100,-73,-73,-100,-78,-32,-82,-80,-82,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-82,-100,-100,-89,-89,-100,-87,-88,-100,-100,-100,-100,-100,-57,-100,-100,-100,-89,-41,-88,-78,-80,-100,-100,-80,-100,-51,-100,-100,-100,-100,-90,-88,-69,-88,-100,-100,-89,-100,-100,-80,-100,-100,-69,-100,-100,-100,-78,-76,-77,-100,-83,-88,-100,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-84,-100,-85,-83,-100,-35,-35,-36,-89,-100,-100,-100,-100,-80,-100,-74,-69,-69,-81,-82,-83,14.1,5.06,0
-100,-100,-100,-100,-100,-78,-77,-100,-77,-36,-80,-81,-82,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-84,-100,-100,-89,-89,-100,-88,-88,-100,-100,-100,-100,-100,-55,-100,-100,-100,-87,-42,-88,-80,-77,-100,-100,-77,-100,-53,-100,-100,-100,-100,-89,-88,-70,-88,-100,-100,-89,-100,-100,-81,-100,-100,-68,-100,-100,-100,-77,-78,-79,-100,-84,-89,-100,-100,-81,-100,-80,-100,-100,-100,-100,-100,-100,-84,-100,-85,-83,-100,-36,-36,-35,-89,-100,-100,-100,-100,-80,-100,-74,-69,-73,-81,-82,-82,14.1,5.06,0
-100,-100,-100,-100,-100,-77,-76,-100,-77,-35,-82,-80,-80,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-82,-100,-100,-89,-89,-100,-88,-88,-100,-100,-100,-100,-100,-56,-100,-100,-100,-87,-42,-88,-77,-80,-100,-100,-79,-100,-52,-100,-100,-100,-100,-89,-86,-66,-88,-100,-100,-89,-100,-100,-81,-100,-100,-65,-100,-100,-100,-77,-76,-77,-100,-83,-88,-100,-100,-81,-100,-80,-100,-100,-100,-100,-100,-100,-84,-100,-85,-83,-100,-35,-36,-36,-89,-100,-100,-100,-100,-79,-100,-74,-70,-73,-82,-82,-82,14.1,5.06,0
-100,-100,-100,-100,-100,-72,-77,-100,-78,-35,-81,-83,-80,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-81,-100,-100,-89,-88,-100,-88,-88,-100,-100,-100,-100,-100,-56,-100,-100,-100,-87,-41,-88,-77,-80,-100,-100,-77,-100,-53,-100,-100,-100,-100,-88,-88,-70,-89,-100,-100,-89,-100,-100,-81,-100,-100,-69,-100,-100,-100,-79,-78,-77,-100,-83,-89,-100,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-84,-100,-85,-83,-100,-35,-37,-34,-89,-100,-100,-100,-100,-79,-100,-74,-69,-74,-82,-83,-82,14.1,5.06,0
-100,-100,-100,-100,-100,-77,-73,-100,-78,-36,-82,-83,-82,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-83,-100,-81,-100,-100,-89,-89,-100,-87,-88,-100,-100,-100,-100,-100,-57,-100,-100,-100,-87,-41,-88,-77,-80,-100,-100,-77,-100,-51,-100,-100,-100,-100,-89,-86,-71,-88,-100,-100,-89,-100,-100,-81,-100,-100,-69,-100,-100,-100,-78,-78,-77,-100,-83,-89,-100,-100,-81,-100,-80,-100,-100,-100,-100,-100,-100,-84,-100,-85,-83,-100,-35,-37,-35,-89,-100,-100,-100,-100,-79,-100,-69,-70,-75,-82,-82,-83,14.1,5.06,0
-100,-100,-100,-100,-100,-77,-77,-100,-73,-36,-82,-81,-81,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-81,-100,-100,-89,-89,-100,-89,-88,-100,-100,-100,-100,-100,-56,-100,-100,-100,-89,-42,-88,-77,-78,-100,-100,-77,-100,-53,-100,-100,-100,-100,-89,-88,-78,-88,-100,-100,-89,-100,-100,-81,-100,-100,-68,-100,-100,-100,-77,-76,-77,-100,-83,-89,-100,-100,-79,-100,-79,-100,-100,-100,-100,-100,-100,-84,-100,-85,-83,-100,-35,-36,-36,-89,-100,-100,-100,-100,-79,-100,-74,-69,-75,-81,-82,-83,14.1,5.06,0
-100,-100,-100,-100,-100,-73,-77,-100,-77,-31,-81,-82,-81,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-83,-100,-81,-100,-100,-89,-89,-100,-88,-88,-100,-100,-100,-100,-100,-56,-100,-100,-100,-87,-42,-88,-77,-80,-100,-100,-80,-100,-52,-100,-100,-100,-100,-89,-86,-77,-88,-100,-100,-89,-100,-100,-81,-100,-100,-70,-100,-100,-100,-79,-76,-77,-100,-83,-89,-100,-100,-79,-100,-80,-100,-100,-100,-100,-100,-100,-84,-100,-85,-83,-100,-35,-35,-35,-88,-100,-100,-100,-100,-80,-100,-75,-69,-69,-83,-82,-83,14.1,5.06,0
-100,-100,-100,-100,-89,-75,-73,-100,-75,-35,-79,-79,-79,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-84,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-61,-100,-100,-100,-87,-40,-100,-77,-75,-100,-100,-75,-100,-47,-100,-100,-100,-100,-100,-89,-62,-89,-100,-80,-100,-82,-82,-79,-100,-100,-69,-100,-89,-100,-81,-81,-82,-100,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-44,-44,-88,-100,-100,-100,-89,-100,-100,-79,-76,-79,-79,-78,-77,11.57,5.06,1
-100,-100,-100,-100,-89,-73,-73,-100,-75,-51,-79,-80,-80,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-100,-84,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-61,-100,-100,-100,-86,-40,-100,-77,-76,-100,-100,-75,-100,-47,-100,-100,-100,-100,-100,-88,-64,-89,-100,-80,-100,-82,-80,-80,-100,-100,-70,-100,-89,-100,-83,-81,-82,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-45,-45,-88,-100,-100,-100,-89,-100,-100,-76,-80,-79,-82,-81,-81,11.57,5.06,1
-100,-100,-100,-100,-89,-74,-73,-100,-74,-35,-80,-80,-79,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-85,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-58,-100,-100,-100,-87,-40,-100,-76,-76,-100,-100,-75,-100,-46,-100,-100,-100,-100,-100,-88,-63,-89,-100,-81,-100,-80,-81,-80,-100,-100,-72,-100,-89,-100,-81,-81,-82,-100,-85,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-44,-44,-89,-100,-100,-100,-89,-100,-100,-76,-80,-76,-78,-80,-79,11.57,5.06,1
